,city,colors,shape,state,time
16206,Seagoville,,CIRCLE,TX,2000-04-06 15:28:00
16207,Glendale,,CIRCLE,AZ,2000-04-06 16:00:00
16208,Chattanooga,,OTHER,TN,2000-04-06 20:00:00
16209,Highlands,GREEN,,NJ,2000-04-06 20:00:00
16210,Tehachapi,RED,LIGHT,CA,2000-04-06 20:00:00
16211,Tuckerton,,SPHERE,NJ,2000-04-06 20:34:00
16212,Arlington,ORANGE GREEN,LIGHT,TX,2000-04-06 20:35:00
16213,San Antonio,,LIGHT,TX,2000-04-06 21:08:00
16214,"Des Moines--4 blocks east of the Marina, Wash",,OVAL,WA,2000-04-07 05:26:00
16215,Streetsboro,,,OH,2000-04-07 21:30:00
16216,Vero Beach,,DIAMOND,FL,2000-04-08 01:30:00
16217,Seattle,,EGG,WA,2000-04-08 18:00:00
16218,Seattle,,EGG,WA,2000-04-08 18:35:00
16219,Menifee,ORANGE GREEN,FIREBALL,CA,2000-04-09 01:10:00
16220,Oceanside,GREEN,FIREBALL,CA,2000-04-09 01:10:00
16221,Newport Coast,,FIREBALL,CA,2000-04-09 01:11:00
16222,Santa Barbara,GREEN,FIREBALL,CA,2000-04-09 01:11:00
16223,Richmond,,CIRCLE,IN,2000-04-09 01:30:00
16224,Hot Springs,,CIGAR,AR,2000-04-09 16:30:00
16225,Temple City,,LIGHT,CA,2000-04-09 20:00:00
16226,Schuyler County area,RED,OVAL,IL,2000-04-09 22:30:00
16227,Springfield,RED,OVAL,IL,2000-04-09 22:30:00
16228,Sunflower,,TRIANGLE,AZ,2000-04-10 00:00:00
16229,Fresno,,CHEVRON,CA,2000-04-10 08:13:00
16230,South Whitley,,OTHER,IN,2000-04-10 10:00:00
16231,Greers Ferry,,,GA,2000-04-10 18:00:00
16232,Owls Head,,DIAMOND,ME,2000-04-10 23:00:00
16233,Tonasket,,LIGHT,WA,2000-04-11 05:10:00
16234,Fayetteville,,LIGHT,AR,2000-04-12 19:30:00
16235,West Palm Beach,,CIRCLE,FL,2000-04-12 20:50:00
16236,Eugene,,LIGHT,OR,2000-04-12 20:58:00
16237,Alamo Lake State Park,ORANGE,,AZ,2000-04-12 21:45:00
16238,Antioch,ORANGE,LIGHT,CA,2000-04-13 05:30:00
16239,Waite Park,,LIGHT,MN,2000-04-13 20:00:00
16240,Texarkana,,OTHER,TX,2000-04-13 21:30:00
16241,Eugene,ORANGE,SPHERE,OR,2000-04-13 22:30:00
16242,Pittsburgh,,TRIANGLE,PA,2000-04-13 22:30:00
16243,San Luis Obispo,,OVAL,CA,2000-04-14 03:00:00
16244,Newfields,,,NH,2000-04-14 03:27:00
16245,Montauk,,DISK,NY,2000-04-14 03:42:00
16246,East Killingly,RED,DISK,CT,2000-04-14 21:00:00
16247,New Haven,RED,,CT,2000-04-14 21:45:00
16248,Gulf of Mexico,,SPHERE,FL,2000-04-15 02:00:00
16249,Hayden,,LIGHT,ID,2000-04-15 04:00:00
16250,Phoenix,,VARIOUS,AZ,2000-04-15 12:25:00
16251,Gig Harbor,,DISK,WA,2000-04-15 13:45:00
16252,Tokeland,,,WA,2000-04-15 15:00:00
16253,Torrance,,DISK,CA,2000-04-15 15:35:00
16254,Beatty,,FORMATION,NV,2000-04-15 22:00:00
16255,Meraux,,RECTANGLE,LA,2000-04-15 22:00:00
16256,San Diego,,FORMATION,CA,2000-04-15 22:00:00
16257,Sedona,YELLOW,SPHERE,AZ,2000-04-15 23:00:00
16258,Prescott Valley,RED,SPHERE,AZ,2000-04-15 23:45:00
16259,Santee,,LIGHT,CA,2000-04-16 01:30:00
16260,Albuquerque,,RECTANGLE,NM,2000-04-16 10:25:00
16261,New York City,,DISK,NY,2000-04-16 12:00:00
16262,San Diego,,CYLINDER,CA,2000-04-16 14:00:00
16263,Sanibel Island,,,FL,2000-04-16 19:40:00
16264,Omaha,,FIREBALL,NE,2000-04-16 20:00:00
16265,Forest Grove,,CONE,OR,2000-04-17 02:00:00
16266,Tulsa,,CIGAR,OK,2000-04-17 06:15:00
16267,Los Angeles,,SPHERE,CA,2000-04-17 16:00:00
16268,Sultan,,LIGHT,WA,2000-04-17 19:20:00
16269,Santa Fe,YELLOW,CYLINDER,NM,2000-04-17 20:00:00
16270,Antioch,ORANGE,FIREBALL,CA,2000-04-17 22:30:00
16271,Corvallis,,FIREBALL,OR,2000-04-17 22:54:00
16272,Arizona,YELLOW,CIRCLE,AZ,2000-04-18 00:00:00
16273,Tacoma,,OTHER,WA,2000-04-18 11:32:00
16274,Cottonwood,,CYLINDER,AZ,2000-04-18 19:00:00
16275,Cocoa Beach,BLUE,CYLINDER,FL,2000-04-18 22:00:00
16276,Arroyo Seco,,LIGHT,CA,2000-04-19 13:30:00
16277,Jellico,,DISK,TN,2000-04-19 18:15:00
16278,Alabaster,,EGG,AL,2000-04-19 19:10:00
16279,Culver City,,LIGHT,CA,2000-04-19 20:20:00
16280,Delray Beach,,CHEVRON,FL,2000-04-19 23:09:00
16281,Chicago,,OTHER,IL,2000-04-19 23:50:00
16282,Palm Desert,,CIGAR,CA,2000-04-20 05:38:00
16283,Austin,,FIREBALL,TX,2000-04-20 17:00:00
16284,Burlington Township,,TRIANGLE,IL,2000-04-20 19:00:00
16285,Tonasket,,LIGHT,WA,2000-04-20 19:55:00
16286,Santa Clara,ORANGE,EGG,CA,2000-04-20 21:05:00
16287,Magna,ORANGE,LIGHT,UT,2000-04-20 21:23:00
16288,Clearfield,,CIRCLE,UT,2000-04-20 21:35:00
16289,Clearfield,,FORMATION,UT,2000-04-20 21:35:00
16290,Joshua,,,TX,2000-04-20 22:30:00
16291,Redlands,RED,,CA,2000-04-20 23:00:00
16292,Rockport,,OVAL,MA,2000-04-20 23:00:00
16293,Harrison,,CYLINDER,AR,2000-04-21 17:00:00
16294,Marion,,DISK,IN,2000-04-21 22:00:00
16295,Healdsburg,,TRIANGLE,CA,2000-04-21 23:15:00
16296,Manitowoc,,LIGHT,WI,2000-04-22 01:23:00
16297,Piqua,,,OH,2000-04-22 15:00:00
16298,Sullivan,,CIGAR,MO,2000-04-22 17:15:00
16299,Birmingham,,VARIOUS,AL,2000-04-22 22:00:00
16300,Victor,,FIREBALL,IA,2000-04-22 22:20:00
16301,Lake Charles,,TRIANGLE,LA,2000-04-22 23:15:00
16302,Burke,,DISK,VA,2000-04-22 23:30:00
16303,Las Vegas,,CIRCLE,NV,2000-04-23 01:30:00
16304,Nevada,,DISK,NV,2000-04-23 18:40:00
16305,Riverside,,LIGHT,CA,2000-04-23 21:00:00
16306,Arivaca,,OTHER,AZ,2000-04-23 22:00:00
16307,Eugene,,DISK,OR,2000-04-23 23:00:00
16308,Merrillville,,TRIANGLE,IN,2000-04-24 00:15:00
16309,Palmetto,,TRIANGLE,GA,2000-04-24 00:20:00
16310,San Jose,,SPHERE,CA,2000-04-24 18:08:00
16311,Tulsa,,FIREBALL,OK,2000-04-24 19:52:00
16312,Venice,RED BLUE,DIAMOND,CA,2000-04-24 20:00:00
16313,Chino Hills,GREEN,CIRCLE,CA,2000-04-24 22:30:00
16314,Cincinnati,,EGG,OH,2000-04-24 22:30:00
16315,Eagle River,RED,LIGHT,AK,2000-04-24 23:15:00
16316,Great Falls,,,MT,2000-04-24 23:30:00
16317,Wheaton,,CIRCLE,MD,2000-04-25 00:30:00
16318,Wood Dale,,OTHER,IL,2000-04-25 02:10:00
16319,Grand Rapids,,,MI,2000-04-25 21:25:00
16320,Kankakee,RED GREEN,CIRCLE,IL,2000-04-25 21:30:00
16321,Carrollton,,FORMATION,TX,2000-04-25 23:15:00
16322,San Rafael,,LIGHT,CA,2000-04-25 23:30:00
16323,Bolingbrook,,OVAL,IL,2000-04-26 21:30:00
16324,Palm Springs,,TRIANGLE,CA,2000-04-27 09:15:00
16325,Orlando,,OTHER,FL,2000-04-27 12:30:00
16326,Lewiston,ORANGE,LIGHT,ME,2000-04-27 13:00:00
16327,Coos Bay,,LIGHT,OR,2000-04-27 18:04:00
16328,Dallas,,LIGHT,TX,2000-04-27 20:40:00
16329,Prescott Valley,,CIRCLE,AZ,2000-04-27 22:00:00
16330,Hot Springs,,CIGAR,AR,2000-04-27 22:15:00
16331,Plano,,TRIANGLE,TX,2000-04-27 23:38:00
16332,Grants Pass,,CIRCLE,OR,2000-04-28 04:30:00
16333,Seattle,,FIREBALL,WA,2000-04-28 21:00:00
16334,Wheeling,,TRIANGLE,WV,2000-04-28 21:00:00
16335,Seattle,,DISK,WA,2000-04-28 22:05:00
16336,Federal Way,,CIGAR,WA,2000-04-28 22:07:00
16337,Federal Way,BLUE,CIGAR,WA,2000-04-28 22:07:00
16338,Seattle,GREEN,LIGHT,WA,2000-04-28 22:07:00
16339,Seattle,,OTHER,WA,2000-04-28 22:10:00
16340,Bossier City,,CHEVRON,LA,2000-04-28 22:28:00
16341,Des Moines,,,IA,2000-04-28 23:15:00
16342,Santa Maria,RED GREEN BLUE,OVAL,CA,2000-04-29 19:00:00
16343,Wittmann,,FLASH,AZ,2000-04-29 20:30:00
16344,Floral Park,,DISK,NY,2000-04-29 22:29:00
16345,Ogden,RED,CIRCLE,UT,2000-04-29 22:30:00
16346,Raccoon Creek State Park,,TRIANGLE,PA,2000-04-29 23:00:00
16347,Eagle Point,,CIRCLE,OR,2000-04-29 23:10:00
16348,Butte Falls,,LIGHT,OR,2000-04-29 23:11:00
16349,South Lyon,,DISK,MI,2000-04-30 00:00:00
16350,Franklin,RED,DIAMOND,MA,2000-04-30 00:12:00
16351,Layton,,TRIANGLE,UT,2000-04-30 22:00:00
16352,Corvallis,,DISK,OR,2000-04-30 22:30:00
16353,Portland,,CIRCLE,OR,2000-04-30 22:30:00
16354,Port Washington,,FIREBALL,WI,2000-04-30 23:41:00
16355,New York City,,FLASH,NY,2000-05-01 01:00:00
16356,Marietta,,OVAL,GA,2000-05-01 04:00:00
16357,Moreno Valley,,VARIOUS,CA,2000-05-01 09:23:00
16358,Geneva,,SPHERE,IL,2000-05-01 12:00:00
16359,Prairieville,,EGG,LA,2000-05-01 17:00:00
16360,Hwy 12,,LIGHT,WA,2000-05-01 20:00:00
16361,Westlake,,LIGHT,LA,2000-05-01 21:00:00
16362,Chicago,,SPHERE,IL,2000-05-01 21:30:00
16363,Little Rock,,TRIANGLE,AR,2000-05-01 22:55:00
16364,Red Shirt,,LIGHT,SD,2000-05-01 23:00:00
16365,Sheboygan,,DIAMOND,WI,2000-05-02 01:23:00
16366,Waterford,BLUE,DISK,NJ,2000-05-03 03:00:00
16367,Newton,,,MA,2000-05-03 09:45:00
16368,Mt. Pleasant,,LIGHT,IA,2000-05-03 20:00:00
16369,Pittsville,,CIRCLE,MO,2000-05-03 21:30:00
16370,Pittsville,,LIGHT,MO,2000-05-03 21:30:00
16371,Surprise,,LIGHT,AZ,2000-05-03 22:00:00
16372,Avon Lake,,OTHER,OH,2000-05-03 22:30:00
16373,Surprise,,,AZ,2000-05-03 22:30:00
16374,Gig Harbor,,SPHERE,WA,2000-05-04 10:30:00
16375,Deweyville,,DIAMOND,TX,2000-05-04 12:00:00
16376,Fallbrook,,OTHER,CA,2000-05-04 17:00:00
16377,Kansas City,,SPHERE,MO,2000-05-04 21:10:00
16378,Ferguson,,CIRCLE,MO,2000-05-04 21:44:00
16379,St. Cloud,,CIRCLE,FL,2000-05-04 22:00:00
16380,Houston,,TRIANGLE,TX,2000-05-04 23:40:00
16381,Atlanta,,LIGHT,GA,2000-05-05 00:00:00
16382,Onawa,,VARIOUS,IA,2000-05-05 19:30:00
16383,Johnson County,RED GREEN,SPHERE,KS,2000-05-05 20:30:00
16384,Simpsonville,RED BLUE,LIGHT,SC,2000-05-05 21:50:00
16385,Triborough Bridge,GREEN,LIGHT,NY,2000-05-06 05:05:00
16386,Bloomingburgh,,LIGHT,NY,2000-05-06 21:30:00
16387,Broad Creek,,,NC,2000-05-06 21:38:00
16388,Braintree,,LIGHT,MA,2000-05-06 22:00:00
16389,Costa Mesa,,DISK,CA,2000-05-06 23:30:00
16390,Portland,,OTHER,OR,2000-05-07 03:45:00
16391,Laguna Beach,BLUE,DISK,CA,2000-05-07 08:00:00
16392,Greenville,,OTHER,DE,2000-05-07 13:00:00
16393,Worcester County,,,MA,2000-05-07 16:30:00
16394,Edinburg,,TRIANGLE,IL,2000-05-07 22:12:00
16395,Evansville,,DIAMOND,IN,2000-05-07 22:45:00
16396,Pompton Plains,,DISK,NJ,2000-05-08 19:00:00
16397,Carpinteria,,TRIANGLE,CA,2000-05-08 22:00:00
16398,Decatur,,SPHERE,GA,2000-05-09 00:35:00
16399,Shahola Falls,,LIGHT,PA,2000-05-09 03:15:00
16400,Camp Atturburry,RED,SPHERE,IN,2000-05-09 08:30:00
16401,Lawton,,SPHERE,OK,2000-05-09 10:30:00
16402,Knoxville,,CIRCLE,TN,2000-05-09 12:00:00
16403,Canfield,,DISK,OH,2000-05-09 20:30:00
16404,Riverside,,CIRCLE,CA,2000-05-09 20:58:00
16405,Salado,,OTHER,TX,2000-05-09 21:30:00
16406,Ashton,,,MI,2000-05-10 10:00:00
16407,Charlotte,,TRIANGLE,NC,2000-05-10 22:00:00
16408,Riverside,,,CA,2000-05-12 01:02:00
16409,Molalla,,DISK,OR,2000-05-12 09:30:00
16410,Portland,,,OR,2000-05-12 20:50:00
16411,Covina,ORANGE,OTHER,CA,2000-05-12 22:17:00
16412,Milwaukee,,CONE,WI,2000-05-12 23:00:00
16413,Melbourne,,LIGHT,FL,2000-05-12 23:15:00
16414,Candor,,OTHER,NY,2000-05-12 23:25:00
16415,Federal Heights,,SPHERE,CO,2000-05-13 17:30:00
16416,Talladega,,OTHER,AL,2000-05-13 20:00:00
16417,Independence,,TRIANGLE,MO,2000-05-13 22:00:00
16418,Auburn,RED,,WA,2000-05-13 23:00:00
16419,Randall,ORANGE,TRIANGLE,MN,2000-05-13 23:30:00
16420,Vacaville,ORANGE,LIGHT,CA,2000-05-13 23:45:00
16421,Eastchester,,CIRCLE,NY,2000-05-14 03:00:00
16422,Millston,,DISK,WI,2000-05-14 17:00:00
16423,Union Beach,,TRIANGLE,NJ,2000-05-14 19:00:00
16424,Stafford Forge,RED,TRIANGLE,NJ,2000-05-14 21:25:00
16425,Tuckerton,RED YELLOW GREEN,TRIANGLE,NJ,2000-05-14 21:25:00
16426,Winter Haven,,EGG,FL,2000-05-15 02:30:00
16427,Bushkill,BLUE,CIRCLE,PA,2000-05-15 03:00:00
16428,Los Angeles,,TRIANGLE,CA,2000-05-15 04:00:00
16429,Dexter,,DISK,KY,2000-05-15 07:00:00
16430,Johnstown,,DISK,PA,2000-05-15 13:45:00
16431,Jackson,,CIGAR,NJ,2000-05-15 19:30:00
16432,New Rochelle,,CIRCLE,NY,2000-05-15 20:00:00
16433,Harrison,,LIGHT,AR,2000-05-15 21:00:00
16434,Ladson,,OTHER,SC,2000-05-15 21:30:00
16435,Woodburn,,LIGHT,OR,2000-05-15 21:55:00
16436,Buttonwillow,,CHEVRON,CA,2000-05-15 22:00:00
16437,Lancaster,,TRIANGLE,CA,2000-05-15 22:00:00
16438,Virginia,,OTHER,MN,2000-05-15 22:00:00
16439,Pittsburg,RED GREEN,LIGHT,TX,2000-05-15 22:30:00
16440,Shakopee,,FIREBALL,MN,2000-05-15 22:50:00
16441,Fair Lawn,,CIRCLE,NJ,2000-05-15 23:00:00
16442,Cleveland,,TEARDROP,OH,2000-05-15 23:30:00
16443,Ottawa,,,WI,2000-05-16 09:30:00
16444,Charlotte,,EGG,NC,2000-05-16 11:00:00
16445,Wilmington,,OTHER,DE,2000-05-17 00:35:00
16446,Fredericksburg,,TEARDROP,TX,2000-05-17 16:00:00
16447,Glen Ridge,,CIRCLE,NJ,2000-05-17 19:30:00
16448,Jackson,,SPHERE,TN,2000-05-17 19:30:00
16449,Bakersfield,,CROSS,CA,2000-05-17 21:00:00
16450,Bay City,,OVAL,OR,2000-05-17 21:54:00
16451,San Francisco,,LIGHT,CA,2000-05-18 20:55:00
16452,Brookville,,DIAMOND,PA,2000-05-18 21:00:00
16453,Cuba,,TRIANGLE,MO,2000-05-18 22:10:00
16454,Phoenix,,CIRCLE,AZ,2000-05-19 00:00:00
16455,Cocoa,,LIGHT,FL,2000-05-19 21:00:00
16456,Augusta,,FIREBALL,KS,2000-05-20 00:00:00
16457,Hudson,,OVAL,OH,2000-05-20 05:00:00
16458,Benedicta,,SPHERE,ME,2000-05-20 13:00:00
16459,Viola,,CIGAR,WI,2000-05-20 14:27:00
16460,Glenn Ellyn,,OTHER,IL,2000-05-20 15:00:00
16461,Hampton,,OTHER,VA,2000-05-20 16:10:00
16462,Santa Clarita,,LIGHT,CA,2000-05-20 20:20:00
16463,Lancaster,,,CA,2000-05-20 20:45:00
16464,Index,,CONE,WA,2000-05-20 23:30:00
16465,NASA-INTERNET TV,,DISK,TX,2000-05-21 01:00:00
16466,New Smyrna Beach,,,FL,2000-05-21 02:40:00
16467,Bauxite,,TRIANGLE,AR,2000-05-21 23:00:00
16468,Houston,GREEN,LIGHT,TX,2000-05-22 03:30:00
16469,Visalia,BLUE,FIREBALL,CA,2000-05-22 18:00:00
16470,Paso Robles,,FLASH,CA,2000-05-22 21:10:00
16471,Gardner,ORANGE GREEN,EGG,KS,2000-05-22 23:00:00
16472,Dayton,,,OH,2000-05-22 23:15:00
16473,Tulsa,,CIRCLE,OK,2000-05-23 20:15:00
16474,Sun Prairie,,,WI,2000-05-23 22:30:00
16475,Cleveland,,TRIANGLE,TN,2000-05-23 23:00:00
16476,Mount Shasta,,TEARDROP,CA,2000-05-24 00:00:00
16477,Flagstaff,,OVAL,AZ,2000-05-25 02:30:00
16478,Dallas,,DISK,TX,2000-05-25 15:15:00
16479,Burr Ridge,,TRIANGLE,IL,2000-05-25 19:40:00
16480,Victor,RED GREEN,DISK,NY,2000-05-25 20:00:00
16481,Ketchikan,,OVAL,AK,2000-05-25 21:00:00
16482,Cottage Hills,,CHEVRON,IL,2000-05-25 21:30:00
16483,Phoenix,,LIGHT,AZ,2000-05-25 21:30:00
16484,South Pasadena,,CHEVRON,CA,2000-05-26 09:28:00
16485,Yuma,,,AZ,2000-05-26 19:00:00
16486,Burbank,ORANGE,DISK,CA,2000-05-26 20:00:00
16487,Newton,,LIGHT,NH,2000-05-26 22:15:00
16488,Littleton,,FIREBALL,CO,2000-05-26 22:50:00
16489,Jersey City,ORANGE,SPHERE,NJ,2000-05-26 23:15:00
16490,Ogdensburg,,VARIOUS,NY,2000-05-26 23:15:00
16491,Cincinnati,,CIRCLE,OH,2000-05-27 02:00:00
16492,Lake Havasu,,DISK,AZ,2000-05-27 16:30:00
16493,Nassau County,,DISK,NY,2000-05-27 21:00:00
16494,Los Angeles,,FORMATION,CA,2000-05-27 22:55:00
16495,Fresno,,FORMATION,CA,2000-05-28 00:20:00
16496,Maricopa,,EGG,CA,2000-05-28 14:00:00
16497,White Sands,,LIGHT,NM,2000-05-28 20:00:00
16498,Decatur,,VARIOUS,TX,2000-05-28 20:30:00
16499,Spring,RED,,TX,2000-05-28 21:15:00
16500,St. Petersburg,ORANGE,FIREBALL,FL,2000-05-28 22:00:00
16501,Sacramento,,TRIANGLE,CA,2000-05-28 22:32:00
16502,Sioux Falls,,FIREBALL,SD,2000-05-29 01:00:00
16503,Tallahassee,,DISK,FL,2000-05-29 04:00:00
16504,Clovis,,LIGHT,CA,2000-05-29 21:00:00
16505,Prescott Valley,,FORMATION,AZ,2000-05-30 20:05:00
16506,Fort Morgan,GREEN,OVAL,AL,2000-05-30 21:00:00
16507,Schuyler County,ORANGE GREEN,LIGHT,IL,2000-05-30 22:07:00
16508,Boston,,FIREBALL,MA,2000-05-31 23:50:00
16509,Joshua Tree National Park,,OVAL,CA,2000-06-01 00:00:00
16510,Auburn,,OVAL,WA,2000-06-01 01:00:00
16511,San Francisco,,FORMATION,CA,2000-06-01 02:00:00
16512,Powhatan,,LIGHT,VA,2000-06-01 12:00:00
16513,Livonia,,DISK,MI,2000-06-01 13:00:00
16514,Albuquerque,,LIGHT,NM,2000-06-01 15:00:00
16515,Macon,,OTHER,GA,2000-06-01 15:00:00
16516,Chattanooga,,DISK,TN,2000-06-01 17:00:00
16517,Key West,,FORMATION,FL,2000-06-01 20:00:00
16518,Santa Fe,,TRIANGLE,NM,2000-06-01 21:30:00
16519,San Francisco,,FIREBALL,CA,2000-06-01 22:00:00
16520,Mineola,,TEARDROP,NY,2000-06-01 22:20:00
16521,Boca Raton,,TRIANGLE,FL,2000-06-01 22:30:00
16522,Buckley,,DISK,WA,2000-06-01 23:00:00
16523,Peru,,EGG,IN,2000-06-02 00:00:00
16524,Gilbert,,OVAL,AZ,2000-06-02 19:50:00
16525,Escondido,RED,LIGHT,CA,2000-06-02 22:00:00
16526,Gladstone,,LIGHT,MI,2000-06-03 00:17:00
16527,Placitas,,CIRCLE,NM,2000-06-03 14:00:00
16528,Albuquerque,,SPHERE,NM,2000-06-03 14:30:00
16529,Greer,RED,TRIANGLE,AZ,2000-06-03 19:30:00
16530,Overgaard,RED BLUE,TRIANGLE,AZ,2000-06-03 19:30:00
16531,Bluewater Village,,DISK,NM,2000-06-03 20:00:00
16532,Bluewater Village,,OVAL,NM,2000-06-03 20:30:00
16533,Kaneohe,,OTHER,HI,2000-06-03 20:30:00
16534,Manzanita,ORANGE,FIREBALL,OR,2000-06-03 21:45:00
16535,Manzanita,ORANGE,LIGHT,OR,2000-06-03 22:00:00
16536,Cranberry Township,,CIRCLE,PA,2000-06-03 22:30:00
16537,Ithaca,,FLASH,MI,2000-06-03 22:35:00
16538,New York City,,CHEVRON,NY,2000-06-03 23:30:00
16539,Milwaukee,,DISK,WI,2000-06-04 02:00:00
16540,Milwaukee,,DISK,WI,2000-06-04 21:30:00
16541,Augusta,,LIGHT,KS,2000-06-05 03:45:00
16542,Ironton,,TRIANGLE,OH,2000-06-05 21:00:00
16543,Conway,,TRIANGLE,SC,2000-06-05 22:00:00
16544,Sargent,,,GA,2000-06-05 23:00:00
16545,San Francisco,,,CA,2000-06-05 23:30:00
16546,Mt. Vernon,,RECTANGLE,VA,2000-06-06 01:45:00
16547,El Cajon,,SPHERE,CA,2000-06-06 03:20:00
16548,Tulsa,,CIRCLE,OK,2000-06-06 08:15:00
16549,St. Louis,,OVAL,MO,2000-06-06 17:22:00
16550,Marlette,,OVAL,MI,2000-06-07 13:00:00
16551,Modesto,,SPHERE,CA,2000-06-07 14:00:00
16552,Deltona,,,FL,2000-06-07 19:00:00
16553,Ely,,LIGHT,MN,2000-06-07 21:30:00
16554,Deltona,,,FL,2000-06-07 22:00:00
16555,Tempe,,,AZ,2000-06-07 22:00:00
16556,Elkhart,,CIRCLE,KS,2000-06-07 23:48:00
16557,Ely,,DIAMOND,MN,2000-06-08 01:00:00
16558,Mulino,,CIGAR,OR,2000-06-08 11:00:00
16559,Lynnville,,DISK,IA,2000-06-09 13:00:00
16560,Richland,,TEARDROP,WA,2000-06-09 17:00:00
16561,Gilbert,RED,LIGHT,AZ,2000-06-09 20:15:00
16562,West Valley,,LIGHT,NY,2000-06-09 20:30:00
16563,Kensington,,CYLINDER,MD,2000-06-09 22:15:00
16564,Germantown,RED,TRIANGLE,MD,2000-06-09 22:35:00
16565,Circle Pines,,LIGHT,MN,2000-06-09 23:00:00
16566,Clinton Township,,LIGHT,MI,2000-06-09 23:35:00
16567,Carrolton,,LIGHT,GA,2000-06-10 00:00:00
16568,Polk City,,CIRCLE,IA,2000-06-10 02:30:00
16569,Henry Cowe Park,,CIRCLE,CA,2000-06-10 03:00:00
16570,Jacksonville,RED YELLOW GREEN,LIGHT,FL,2000-06-10 04:00:00
16571,Avoco,,TRIANGLE,PA,2000-06-10 12:00:00
16572,Stevens Point,,CIRCLE,WI,2000-06-10 13:00:00
16573,Slatington,,OVAL,PA,2000-06-10 18:00:00
16574,Hillsboro,RED,CIRCLE,MO,2000-06-10 19:00:00
16575,Gilbert,RED,,AZ,2000-06-10 19:30:00
16576,Lakewood,,LIGHT,CA,2000-06-10 21:23:00
16577,Orofino,,TRIANGLE,ID,2000-06-10 21:30:00
16578,Levittown,GREEN,CYLINDER,NY,2000-06-10 21:35:00
16579,Parlin,,,NJ,2000-06-10 21:38:00
16580,Moundsville,RED YELLOW,FLASH,WV,2000-06-10 22:00:00
16581,Santa Monica,,LIGHT,CA,2000-06-10 23:00:00
16582,Framingham,ORANGE,SPHERE,MA,2000-06-11 02:16:00
16583,Freer,,DISK,TX,2000-06-11 02:30:00
16584,Freer,RED,CIRCLE,TX,2000-06-11 03:00:00
16585,Lunenburg,,SPHERE,MA,2000-06-11 03:05:00
16586,Starr,,OTHER,SC,2000-06-11 16:30:00
16587,Tucson,,OTHER,AZ,2000-06-11 17:30:00
16588,Houston,,TEARDROP,TX,2000-06-12 11:45:00
16589,Lynnwood,,TRIANGLE,WA,2000-06-12 17:20:00
16590,Houston,,DISK,TX,2000-06-12 19:00:00
16591,Hurst,,FIREBALL,TX,2000-06-12 23:26:00
16592,Salina,,CONE,KS,2000-06-13 16:50:00
16593,Los Angeles,,LIGHT,CA,2000-06-13 20:00:00
16594,Casper,,OVAL,WY,2000-06-13 22:00:00
16595,Creaston,,LIGHT,CA,2000-06-13 22:00:00
16596,Prineville,,RECTANGLE,OR,2000-06-14 02:30:00
16597,Greenfield,,OTHER,IL,2000-06-14 19:30:00
16598,Green Ridge,,LIGHT,MO,2000-06-14 21:00:00
16599,Greenfield,,CHEVRON,IL,2000-06-14 21:30:00
16600,Ventura,,CIRCLE,CA,2000-06-14 22:00:00
16601,Ravenna,,LIGHT,MI,2000-06-14 22:40:00
16602,Blue Springs,,FIREBALL,MO,2000-06-14 23:45:00
16603,Eugene,,TRIANGLE,OR,2000-06-15 02:00:00
16604,Oakdale,,CIRCLE,MN,2000-06-15 02:00:00
16605,Los Angeles,,,CA,2000-06-15 03:00:00
16606,Dayton,,OTHER,OH,2000-06-15 05:00:00
16607,Lincoln Park,,OTHER,MI,2000-06-15 12:28:00
16608,none,,SPHERE,NY,2000-06-15 15:00:00
16609,Sault Ste. Marie,,SPHERE,MI,2000-06-15 17:30:00
16610,Caarthage,,TRIANGLE,MS,2000-06-15 17:45:00
16611,Chanhassen,ORANGE,DISK,MN,2000-06-15 18:30:00
16612,Findlay,,OVAL,OH,2000-06-15 21:00:00
16613,Stratford,,TRIANGLE,TX,2000-06-15 21:00:00
16614,Cape May Court House,,LIGHT,NJ,2000-06-15 22:00:00
16615,Solon,,CIRCLE,OH,2000-06-15 22:00:00
16616,Millville,,TRIANGLE,NJ,2000-06-15 23:00:00
16617,Sparks,,LIGHT,NV,2000-06-15 23:00:00
16618,Seattle,ORANGE BLUE,OTHER,WA,2000-06-15 23:11:00
16619,Ringwood,,LIGHT,IL,2000-06-15 23:45:00
16620,Redlands,,LIGHT,CA,2000-06-16 00:05:00
16621,Portland,,,OR,2000-06-16 02:00:00
16622,Cannonsburgh,,FIREBALL,PA,2000-06-16 13:23:00
16623,Saratoga,BLUE,OVAL,NY,2000-06-16 14:00:00
16624,Cahokia,GREEN BLUE,TRIANGLE,IL,2000-06-16 21:45:00
16625,St. Louis,,OTHER,MO,2000-06-16 23:30:00
16626,Atlantic Ocean,,,NC,2000-06-17 00:35:00
16627,Sheboygan,,,WI,2000-06-17 02:50:00
16628,Tualatin,,DISK,OR,2000-06-17 16:00:00
16629,Sierra Madre,,SPHERE,CA,2000-06-17 17:30:00
16630,Farmington Hills,,VARIOUS,MI,2000-06-17 21:40:00
16631,Robstown,,SPHERE,TX,2000-06-17 22:00:00
16632,Spanish Fork,,SPHERE,UT,2000-06-17 22:52:00
16633,Sunnyside,,LIGHT,NY,2000-06-18 04:30:00
16634,West Branch,,OVAL,IA,2000-06-18 10:45:00
